city,date,img,temperature,weather,week,wind
上海,11月15日,/static/wap2018/ico1/b0.png,19,晴,星期三,东风
上海,11月16日,/static/wap2018/ico1/b8.png,17,雨,星期四,东风
上海,11月17日,/static/wap2018/ico1/b8.png,19,雨,星期五,北风
上海,11月18日,/static/wap2018/ico1/b8.png,15,雨,星期六,北风
上海,11月19日,/static/wap2018/ico1/b1.png,12,多云,星期日,北风
上海,11月20日,/static/wap2018/ico1/b1.png,11,多云,星期一,东北风
上海,11月21日,/static/wap2018/ico1/b8.png,16,雨,星期二,东南风
苏州,11月15日,/static/wap2018/ico1/b1.png,19,多云,星期三,东风
苏州,11月16日,/static/wap2018/ico1/b8.png,16,雨,星期四,东风
苏州,11月17日,/static/wap2018/ico1/b8.png,19,雨,星期五,北风
苏州,11月18日,/static/wap2018/ico1/b8.png,14,雨,星期六,北风
苏州,11月19日,/static/wap2018/ico1/b1.png,12,多云,星期日,东北风
苏州,11月20日,/static/wap2018/ico1/b1.png,14,多云,星期一,东风
苏州,11月21日,/static/wap2018/ico1/b8.png,16,雨,星期二,东南风
杭州,11月15日,/static/wap2018/ico1/b0.png,18,晴,星期三,东北风
杭州,11月16日,/static/wap2018/ico1/b1.png,18,多云,星期四,东风
杭州,11月17日,/static/wap2018/ico1/b8.png,19,雨,星期五,北风
杭州,11月18日,/static/wap2018/ico1/b8.png,11,雨,星期六,北风
杭州,11月19日,/static/wap2018/ico1/b0.png,14,晴,星期日,东北风
杭州,11月20日,/static/wap2018/ico1/b1.png,14,多云,星期一,东风
杭州,11月21日,/static/wap2018/ico1/b8.png,15,雨,星期二,东南风
